year,food_code,mod_code,food_description,method,method_description,nhanes,price_100gm
2017/2018,56207200,NA,"Whole wheat cereal, cooked, no added fat (Includes Wheatena; Zoom; Roman Meal; Maltex; Malt-O-Meal; all liquids)",3,Original FNDDS recipe,Base,0.064303
2017/2018,56207210,NA,"Whole wheat cereal, cooked, fat added (Includes Wheatena; Zoom; Roman Meal; Maltex; Malt-O-Meal; all liquids)",4,FNDDS recipe with replaced or modified SR codes,Base,0.075222
2017/2018,56208500,NA,"Oat bran cereal, cooked, no added fat (Includes all liquids)",3,Original FNDDS recipe,Base,0.117815
2017/2018,56208510,NA,"Oat bran cereal, cooked, fat added (Includes all liquids)",4,FNDDS recipe with replaced or modified SR codes,Base,0.127324
2017/2018,57000100,NA,"Cereal, oat, NFS",2,Links to altEC,Base,0.688898
2017/2018,57100100,NA,"Cereal, ready-to-eat, NFS (Includes NS as to cooked or ready-to-eat)",2,Links to altEC,Base,0.669138
2017/2018,57101000,NA,Cereal (Kellogg's All-Bran),1,Links to FNDDS,Base,0.785878
2017/2018,57103000,NA,Cereal (Post Alpha-Bits) (Includes Alpha-Bits with marshmallow),1,Links to FNDDS,Base,0.79845
2017/2018,57104000,NA,Cereal (Kellogg's Apple Jacks),1,Links to FNDDS,Base,0.724265
2017/2018,57106050,NA,Cereal (Post Great Grains Banana Nut Crunch),2,Links to altEC,Base,0.827992
2017/2018,57106260,NA,Cereal (General Mills Cheerios Berry Burst) (Includes all flavors; Triple Berry),1,Links to FNDDS,Base,0.768682
2017/2018,57117000,NA,Cereal (Quaker Cap'n Crunch),1,Links to FNDDS,Base,0.560351
2017/2018,57119000,NA,Cereal (Quaker Cap'n Crunch's Crunchberries),1,Links to FNDDS,Base,0.589634
2017/2018,57120000,NA,Cereal (Quaker Cap'n Crunch's Peanut Butter Crunch),1,Links to FNDDS,Base,0.625936
2017/2018,57123000,NA,Cereal (General Mills Cheerios),1,Links to FNDDS,Base,0.755575
